,code,pe_ratio
534,600078.XSHG,66.68
535,600527.XSHG,100.22
536,603838.XSHG,68.84
537,600354.XSHG,50.95
538,300547.XSHE,45.57
539,600268.XSHG,257.12
540,002848.XSHE,113.84
541,300555.XSHE,80.08
542,300539.XSHE,100.93
543,002824.XSHE,51.73
544,002208.XSHE,50.38
545,603505.XSHG,78.65
546,002552.XSHE,-24.82
547,300541.XSHE,74.0
548,600861.XSHG,43.58
549,002576.XSHE,182.51
550,002009.XSHE,36.77
551,600186.XSHG,301.91
552,603656.XSHG,48.57
553,002401.XSHE,68.73
554,300549.XSHE,64.67
555,603936.XSHG,69.93
556,002398.XSHE,25.66
557,300579.XSHE,63.77
558,600081.XSHG,33.04
559,603023.XSHG,52.9
560,603789.XSHG,141.96
561,300235.XSHE,242.53
562,000570.XSHE,55.87
563,603688.XSHG,49.29
564,603232.XSHG,62.11
565,000678.XSHE,194.06
566,600283.XSHG,67.22
567,002808.XSHE,96.6
568,002860.XSHE,54.89
569,002789.XSHE,45.95
570,600870.XSHG,-683.97
571,600082.XSHG,-52.13
572,300445.XSHE,90.45
573,300515.XSHE,111.73
574,002443.XSHE,72.16
575,300153.XSHE,84.58
576,300067.XSHE,46.35
577,002579.XSHE,154.57
578,600212.XSHG,64.87
579,300250.XSHE,35.8
580,600976.XSHG,69.48
581,000909.XSHE,178.22
582,300582.XSHE,74.76
583,600985.XSHG,46.39
584,300581.XSHE,78.76
585,300493.XSHE,81.22
586,600159.XSHG,66.49
587,300532.XSHE,69.81
588,600539.XSHG,-1036.26
589,603099.XSHG,75.16
590,600678.XSHG,-146.91
591,300013.XSHE,61.52
592,002404.XSHE,39.49
593,002767.XSHE,98.56
594,600397.XSHG,-2.1
595,000663.XSHE,33.82
596,002830.XSHE,81.04
597,000421.XSHE,23.73
598,002813.XSHE,114.05
599,603199.XSHG,49.39
600,300245.XSHE,72.46
601,002330.XSHE,1383.11
602,603663.XSHG,99.96
603,002532.XSHE,30.13
604,603600.XSHG,35.85
605,002529.XSHE,-201.82
606,002809.XSHE,59.05
607,600644.XSHG,19.99
608,002835.XSHE,63.03
609,300552.XSHE,88.66
610,002417.XSHE,-57.62
611,603159.XSHG,100.16
612,603738.XSHG,62.32
613,600975.XSHG,23.79
614,002200.XSHE,168.82
615,300328.XSHE,113.92
616,300500.XSHE,66.49
617,002559.XSHE,35.7
618,600877.XSHG,-25.4
619,603665.XSHG,43.82
620,603208.XSHG,35.74
621,002863.XSHE,57.21
622,603959.XSHG,37.21
623,002868.XSHE,47.91
624,300556.XSHE,201.38
625,603519.XSHG,56.03
626,002842.XSHE,73.28
627,002634.XSHE,115.88
628,002533.XSHE,25.39
629,600858.XSHG,448.42
630,603703.XSHG,118.96
631,300639.XSHE,54.74
632,300585.XSHE,77.76
633,300575.XSHE,45.25
634,002738.XSHE,77.05
635,000589.XSHE,30.96
636,002290.XSHE,127.78
637,002084.XSHE,45.33
638,002826.XSHE,75.63
639,300414.XSHE,91.36
640,002743.XSHE,83.3
641,002377.XSHE,574.21
642,002805.XSHE,176.36
643,600854.XSHG,-72.39
644,603322.XSHG,195.68
645,600265.XSHG,120.45
646,002037.XSHE,45.57
647,300630.XSHE,59.46
648,603015.XSHG,70.45
649,000912.XSHE,-7.17
650,300103.XSHE,173.87
651,000996.XSHE,186.3
652,300356.XSHE,73.64
653,603690.XSHG,102.62
654,002740.XSHE,70.96
655,603016.XSHG,66.4
656,300565.XSHE,87.11
657,603037.XSHG,39.93
658,600830.XSHG,39.9
659,002096.XSHE,132.55
660,002187.XSHE,27.11
661,600249.XSHG,93.89
662,600199.XSHG,-1035.8
663,600262.XSHG,141.52
664,603268.XSHG,116.58
665,603069.XSHG,79.57
666,002535.XSHE,280.4
667,002861.XSHE,40.1
668,300181.XSHE,72.97
669,603180.XSHG,42.58
670,300018.XSHE,40.37
671,300333.XSHE,224.45
672,603696.XSHG,104.1
673,002115.XSHE,130.31
674,002388.XSHE,218.33
675,600462.XSHG,492.76
676,300395.XSHE,38.25
677,002495.XSHE,160.45
678,601798.XSHG,-31.1
679,000780.XSHE,-16.71
680,603311.XSHG,59.1
681,603101.XSHG,40.28
682,603389.XSHG,57.8
683,002536.XSHE,33.87
684,300475.XSHE,55.58
685,603779.XSHG,69.54
686,300425.XSHE,69.74
687,603360.XSHG,40.85
688,000655.XSHE,-9.48
689,300597.XSHE,79.41
690,002623.XSHE,328.87
691,300437.XSHE,98.35
692,600530.XSHG,31.35
693,002072.XSHE,191.39
694,603040.XSHG,70.53
695,002615.XSHE,30.35
696,002732.XSHE,40.35
697,002133.XSHE,25.78
698,000411.XSHE,49.11
699,603598.XSHG,132.04
700,000659.XSHE,-8.24
701,600353.XSHG,93.78
702,603318.XSHG,117.34
703,601208.XSHG,59.5
704,002438.XSHE,84.81
705,002708.XSHE,66.4
706,603677.XSHG,49.28
707,000416.XSHE,130.05
708,000819.XSHE,147.6
709,300111.XSHE,-251.66
710,603859.XSHG,94.77
711,000789.XSHE,19.21
712,300508.XSHE,93.95
713,000720.XSHE,-33.08
714,600137.XSHG,331.63
715,000677.XSHE,1042.66
716,000911.XSHE,32.62
717,603066.XSHG,52.63
718,002039.XSHE,66.04
719,000010.XSHE,94.57
720,300596.XSHE,46.39
721,600697.XSHG,13.61
722,002014.XSHE,22.02
723,600815.XSHG,-1.72
724,000033.XSHE,899.41
725,300193.XSHE,41.94
726,601218.XSHG,42.17
727,000599.XSHE,46.68
728,600178.XSHG,45.17
729,300025.XSHE,60.75
730,603177.XSHG,81.49
731,600241.XSHG,-60.65
732,603637.XSHG,75.57
733,002771.XSHE,64.19
734,002476.XSHE,-136.02
735,300346.XSHE,477.28
736,300223.XSHE,360.54
737,002578.XSHE,228.68
738,600592.XSHG,66.21
739,600130.XSHG,390.13
740,000731.XSHE,-21.13
741,002853.XSHE,45.28
742,300210.XSHE,60.04
743,600891.XSHG,27.81
744,603896.XSHG,54.04
745,603985.XSHG,44.86
746,600792.XSHG,58.35
747,300461.XSHE,286.76
748,600238.XSHG,-163.48
749,002403.XSHE,30.97
750,002453.XSHE,-14.19
751,601996.XSHG,42.0
752,002177.XSHE,671.74
753,002866.XSHE,44.99
754,002702.XSHE,-1242.75
755,300378.XSHE,118.48
756,002164.XSHE,256.73
757,000670.XSHE,383.56
758,300049.XSHE,37.57
759,600119.XSHG,35.26
760,603178.XSHG,54.65
761,300130.XSHE,32.74
762,601616.XSHG,-47.31
763,002068.XSHE,21.64
764,600469.XSHG,-72.08
765,002082.XSHE,67.62
766,000565.XSHE,20.06
767,000736.XSHE,-651.87
768,002613.XSHE,201.04
769,600223.XSHG,48.9
770,002362.XSHE,171.24
771,002514.XSHE,-60.01
772,600052.XSHG,11.95
773,300217.XSHE,98.22
774,000886.XSHE,44.57
775,002803.XSHE,100.77
776,601518.XSHG,22.64
777,002734.XSHE,34.18
778,002637.XSHE,29.27
779,300087.XSHE,146.25
780,300560.XSHE,117.15
781,600288.XSHG,117.79
782,000753.XSHE,22.37
783,600961.XSHG,254.39
784,600336.XSHG,177.65
785,002026.XSHE,38.63
786,002406.XSHE,38.13
787,002394.XSHE,11.67
788,603968.XSHG,26.37
789,300430.XSHE,85.89
790,603123.XSHG,40.24
791,300056.XSHE,24.14
792,603138.XSHG,103.77
793,603222.XSHG,108.52
794,002380.XSHE,54.77
795,002574.XSHE,126.36
796,603039.XSHG,67.85
797,600375.XSHG,46.6
798,603966.XSHG,72.46
799,002278.XSHE,-46.81
800,300231.XSHE,39.09
801,600191.XSHG,279.67
802,600327.XSHG,21.4
803,603668.XSHG,56.38
804,300469.XSHE,155.22
805,002855.XSHE,61.92
806,002478.XSHE,45.8
807,600789.XSHG,122.99
808,300155.XSHE,280.53
809,600740.XSHG,29.98
810,603100.XSHG,36.45
811,603928.XSHG,51.16
812,002644.XSHE,72.09
813,300314.XSHE,73.19
814,300023.XSHE,83.71
815,002628.XSHE,111.46
816,300047.XSHE,36.8
817,600556.XSHG,-183.49
818,000782.XSHE,-81.87
819,002338.XSHE,88.87
820,002397.XSHE,46.7
821,002840.XSHE,42.23
822,300511.XSHE,46.74
823,002274.XSHE,61.69
824,300268.XSHE,658.67
825,002166.XSHE,71.75
826,600071.XSHG,-43.98
827,002748.XSHE,30.65
828,000505.XSHE,37.85
829,603021.XSHG,91.03
830,603909.XSHG,84.02
831,002412.XSHE,55.32
832,000609.XSHE,28.1
833,300465.XSHE,720.06
834,603300.XSHG,79.49
835,002386.XSHE,39.45
836,002870.XSHE,43.68
837,002483.XSHE,58.13
838,002820.XSHE,51.79
839,300389.XSHE,33.77
840,002369.XSHE,-354.9
841,300205.XSHE,252.65
842,300341.XSHE,38.7
843,000017.XSHE,1796.79
844,002228.XSHE,43.11
845,002213.XSHE,1487.71
846,300548.XSHE,67.58
847,000404.XSHE,18.85
848,002691.XSHE,914.26
849,002286.XSHE,95.92
850,603227.XSHG,-104.69
851,600692.XSHG,97.37
852,300261.XSHE,207.87
853,002549.XSHE,206.97
854,300265.XSHE,40.14
855,002107.XSHE,92.69
856,300138.XSHE,43.39
857,300016.XSHE,216.96
858,300071.XSHE,36.5
859,002087.XSHE,22.59
860,600368.XSHG,18.94
861,000906.XSHE,34.68
862,300041.XSHE,46.22
863,300611.XSHE,86.87
864,002154.XSHE,-12.68
865,002296.XSHE,56.43
866,002728.XSHE,51.83
867,002700.XSHE,62.47
868,600419.XSHG,58.72
869,600121.XSHG,-17.25
870,300086.XSHE,113.35
871,300481.XSHE,73.98
872,603996.XSHG,40.26
873,000409.XSHE,-21.33
874,300455.XSHE,70.95
875,300448.XSHE,56.62
876,002220.XSHE,26.71
877,300561.XSHE,68.76
878,300420.XSHE,61.58
879,600624.XSHG,121.12
880,600279.XSHG,58.97
881,002788.XSHE,41.76
882,600113.XSHG,53.36
883,002587.XSHE,47.94
884,603901.XSHG,54.19
885,600984.XSHG,51.79
886,300477.XSHE,55.14
887,300545.XSHE,115.95
888,600836.XSHG,-264.78
889,603011.XSHG,97.13
890,601789.XSHG,24.97
891,002225.XSHE,-27.39
892,603615.XSHG,53.18
893,600800.XSHG,305.27
894,600215.XSHG,193.01
895,002772.XSHE,40.13
896,300394.XSHE,39.43
897,300419.XSHE,77.24
898,600328.XSHG,37.34
899,300095.XSHE,105.34
900,000532.XSHE,129.34
901,300320.XSHE,57.09
902,600995.XSHG,29.18
903,300382.XSHE,45.5
904,002196.XSHE,40.51
905,002524.XSHE,2663.73
906,600838.XSHG,26.43
907,600630.XSHG,252.17
908,002331.XSHE,63.58
909,300108.XSHE,26.29
910,300468.XSHE,61.68
911,600558.XSHG,103.69
912,300082.XSHE,43.28
913,000850.XSHE,52.18
914,002052.XSHE,-8.31
915,603085.XSHG,135.8
916,600209.XSHG,-109.04
917,300580.XSHE,41.32
918,300275.XSHE,-153.57
919,300591.XSHE,138.81
920,002632.XSHE,87.01
921,603017.XSHG,40.7
922,002730.XSHE,128.17
923,002751.XSHE,295.7
924,300490.XSHE,107.57
925,300491.XSHE,152.01
926,600449.XSHG,55.16
927,601999.XSHG,39.05
928,603787.XSHG,62.65
929,002722.XSHE,39.4
930,002546.XSHE,59.1
931,300301.XSHE,-66.74
932,000554.XSHE,1147.98
933,000708.XSHE,16.67
934,002021.XSHE,293.21
935,600163.XSHG,43.18
936,603203.XSHG,45.66
937,603067.XSHG,48.43
938,002749.XSHE,34.54
939,603189.XSHG,75.08
940,002098.XSHE,41.97
941,300396.XSHE,38.74
942,603158.XSHG,41.57
943,300617.XSHE,64.46
944,000635.XSHE,32.88
945,300401.XSHE,84.52
946,603716.XSHG,70.06
947,300462.XSHE,109.51
948,000682.XSHE,81.58
949,000833.XSHE,91.7
950,300042.XSHE,107.7
951,603729.XSHG,131.62
952,603878.XSHG,38.06
953,600716.XSHG,125.51
954,002297.XSHE,485.11
955,300602.XSHE,47.46
956,603030.XSHG,45.47
957,002548.XSHE,31.63
958,002605.XSHE,53.77
959,603886.XSHG,37.81
960,000701.XSHE,33.7
961,600467.XSHG,113.42
962,600479.XSHG,32.73
963,000523.XSHE,122.96
964,002521.XSHE,31.68
965,600225.XSHG,15.58
966,603797.XSHG,80.5
967,002432.XSHE,396.07
968,300177.XSHE,178.93
969,002621.XSHE,654.29
970,000510.XSHE,61.93
971,300248.XSHE,62.43
972,600691.XSHG,-5.71
973,002355.XSHE,86.09
974,002750.XSHE,57.75
975,000716.XSHE,294.85
976,300150.XSHE,75.62
977,600389.XSHG,61.11
978,600488.XSHG,88.65
979,002160.XSHE,29.7
980,002666.XSHE,37.55
981,600794.XSHG,1754.52
982,002599.XSHE,138.41
983,300331.XSHE,133.01
